season,week,game_id,game_type,home_team,away_team,div_game,actual_home_win,calibrated,model_side,model_team,model_odds,model_prob,model_edge,bet_flag,model_reason,model_profit,model_is_favorite,model_is_home,bl_home_profit,bl_favorite_profit,bl_highprob_profit,bl_highev_noguard_profit,bl_highev_guard_profit
2023,4,2023_04_TB_NO,REG,NO,TB,1,0.0,False,away,TB,170.0,0.39106743929447285,0.05588208609507672,1,edge 5.59% clears required 2.00%; market quality OK,17.0,False,False,-10.0,-10.0,-10.0,17.0,17.0
2023,4,2023_04_WAS_PHI,REG,PHI,WAS,1,1.0,False,home,PHI,-455.0,0.7919561223223764,-0.03398758705732105,0,edge -3.40% below required 4.00% (base minimum edge 2.00%; short favorite (-455 <= -250): +2.00%),2.197802197802198,True,True,2.197802197802198,2.197802197802198,2.197802197802198,2.197802197802198,
2023,4,2023_04_CIN_TEN,REG,TEN,CIN,0,1.0,False,away,CIN,-162.0,0.6118569766846833,-0.010453531534648008,0,edge -1.05% below required 2.00% (base minimum edge 2.00%),-10.0,True,False,13.600000000000001,-10.0,-10.0,-10.0,
2023,4,2023_04_LV_LAC,REG,LAC,LV,1,1.0,False,away,LV,250.0,0.3407122510622902,0.19249287871801568,1,edge 19.25% clears required 2.00%; market quality OK,-10.0,False,False,3.225806451612903,3.225806451612903,3.225806451612903,-10.0,-10.0
2023,4,2023_04_NE_DAL,REG,DAL,NE,0,1.0,False,home,DAL,-285.0,0.7151017537471637,-0.03398535020119997,0,edge -3.40% below required 4.00% (base minimum edge 2.00%; short favorite (-285 <= -250): +2.00%),3.508771929824561,True,True,3.508771929824561,3.508771929824561,3.508771929824561,3.508771929824561,
2023,4,2023_04_ARI_SF,REG,SF,ARI,1,1.0,False,away,ARI,700.0,0.14793179248286803,0.18345433986294424,1,edge 18.35% clears required 4.00%; market quality OK,-10.0,False,False,0.9090909090909092,0.9090909090909092,0.9090909090909092,-10.0,-10.0
2023,4,2023_04_KC_NYJ,REG,NYJ,KC,0,0.0,False,home,NYJ,370.0,0.22459455817871216,0.05559442343994714,1,edge 5.56% clears required 4.00%; market quality OK,-10.0,False,True,-10.0,2.0618556701030926,2.0618556701030926,-10.0,-10.0
2023,4,2023_04_SEA_NYG,REG,NYG,SEA,0,0.0,False,home,NYG,120.0,0.49064855441709676,0.0794268197176129,1,edge 7.94% clears required 3.00%; market quality OK,-10.0,False,True,-10.0,7.04225352112676,7.04225352112676,-10.0,-10.0
2023,5,2023_05_CHI_WAS,REG,WAS,CHI,0,0.0,False,home,WAS,-258.0,0.7573953541987694,0.0509594449734862,1,edge 5.10% clears required 4.00%; market quality OK,-10.0,True,True,-10.0,-10.0,-10.0,-10.0,-10.0
2023,5,2023_05_JAX_BUF,REG,BUF,JAX,0,0.0,False,home,BUF,-250.0,0.806478025152605,0.12906923521364705,1,edge 12.91% clears required 4.00%; market quality OK,-10.0,True,True,-10.0,-10.0,-10.0,-10.0,-10.0
2023,5,2023_05_HOU_ATL,REG,ATL,HOU,0,1.0,False,home,ATL,-142.0,0.6202913824662889,0.057116299696069794,1,edge 5.71% clears required 2.00%; market quality OK,7.04225352112676,True,True,7.04225352112676,7.04225352112676,7.04225352112676,7.04225352112676,7.04225352112676
2023,5,2023_05_CAR_DET,REG,DET,CAR,0,1.0,False,away,CAR,350.0,0.24720681098028097,0.11243064941126435,1,edge 11.24% clears required 4.00%; market quality OK,-10.0,False,False,2.197802197802198,2.197802197802198,2.197802197802198,-10.0,-10.0
2023,5,2023_05_TEN_IND,REG,IND,TEN,1,1.0,False,home,IND,120.0,0.4676937681270166,0.028926289879436462,0,edge 2.89% below required 3.00% (base minimum edge 2.00%; coin-flip probability (46.8% within 5% of 50%): +1.00%),12.0,False,True,12.0,-10.0,-10.0,12.0,
2023,5,2023_05_NYG_MIA,REG,MIA,NYG,0,1.0,False,away,NYG,525.0,0.2734567224037173,0.7091045150232332,1,edge 70.91% clears required 4.00%; market quality OK,-10.0,False,False,1.3333333333333333,1.3333333333333333,1.3333333333333333,-10.0,-10.0
2023,5,2023_05_NO_NE,REG,NE,NO,0,0.0,False,home,NE,-135.0,0.5610579054163763,-0.02334364612704859,0,edge -2.33% below required 2.00% (base minimum edge 2.00%),-10.0,True,True,-10.0,-10.0,-10.0,-10.0,
2023,5,2023_05_BAL_PIT,REG,PIT,BAL,1,1.0,False,home,PIT,190.0,0.47366536140726845,0.3736295480810785,1,edge 37.36% clears required 3.00%; market quality OK,19.0,False,True,19.0,-10.0,-10.0,19.0,19.0
